drug_name	drug_type	CID/CIDs	Source	therapy_type	action	action_class	approval_status	drugbank_id	synonyms
a-443654	small molecule	10172943	GDSC	Targeted Therapy	Akt inhibitor,potent and selective	akt related			
at7867	small molecule	11175137	GDSC|CTRPV2	Targeted Therapy	Akt1/2/3 and p70S6K/PKA inhibitor	akt related			
mk-2206	small molecule	24964624	GDSC|CTRPV2	Targeted Therapy	MK-2206 dihydrochloride is an orally active allosteric Akt inhibitor used in treatment of solid tumors	akt related	investigational	DB16828	MK-2206 free base
mk2206	small molecule	46930998	TCGA	Targeted Therapy	orally active allosteric Akt inhibitor used in treatment of solid tumors	akt related	investigational		
chlorambucil	small molecule	2708	CTRPV2	Chemotherapy	alkylating agent	alkylating related	approved	DB00291	leukeran|nci-3088|lympholysin|chlorambucilum|cb-1348|ambochlorin|nsc-3088|chlorbutin|ecloril
clofarabine	small molecule	119182	CTRPV2	Chemotherapy	Antimetabolite,inhibit DNA polymerase and ribonucleotide reductase	alkylating related	approved	DB00631	
bendamustine	small molecule	65628	CTRPV2	Chemotherapy	Bendamustine (SDX-105 free base), a purine analogue, is a DNA cross-linking agent. Bendamustine activates DNA-damage stress response and apoptosis. Bendamustine has potent alkylating, anticancer and antimetabolite properties.	alkylating related	approved	DB06769	Bendamustina|Bendamustine|Ribomustine|SDX 105|SDX-105|SDX105
decitabine	small molecule	451668	CTRPV2	Chemotherapy	Deoxycytidine analog and cellular diifferentiation inducer	alkylating related	approved	DB01262	dac|2'-deoxy-5-azacytidine|nsc-127716
7-ethyl-10-hydroxycamptothecin	small molecule	104842	CTRPV2	Chemotherapy	TOPO I inhibitor	alkylating related	investigational	DB05482	sn-38
bleomycin a2	small molecule	5460769	CTRPV2	Chemotherapy		alkylating related			
cytarabine	small molecule	6253	GDSC	Chemotherapy	Cytotoxic agent, blocks DNA synthesis	alkylating related	approved	DB00987	cytarabine hydrochloride|cytarabine liposome|cytarabinoside|nsc-287459|u 19920a|aracytidine|ara-cytidine|arabinocytosine|u-19920|aracytin|cytarabinum|ara-c|arabinosyl cytosine|spongocytidine|u-19,920|aracytine
fludarabine	small molecule	657237	GDSC	Chemotherapy	DNA synthsis inhibitor	alkylating related	approved	DB01073	fludarabine phosphate
nelarabine	small molecule	3011155	GDSC|CTRPV2	Chemotherapy	Prodrug of ara-G for T-LBL/T-ALL	alkylating related	approved	DB01280	
azacitidine	small molecule	9444	GDSC|CTRPV2	Chemotherapy		alkylating related	approved	DB00928	onureg|vidaza|u-18496|5-azacitidine|ladakamycin|nsc-102816|u-18,496|5-azacytidine
streptozocin	small molecule	29327	TCGA	Chemotherapy	a potent DNA-methylating antibiotic, is a naturally occurring nitrosoamide used for extensively to produce diabetes in experimental models	alkylating related	approved	DB00428	zanosar
oxaliplatin	small molecule	9887053	TCGA	Chemotherapy	Antitumor agent	alkylating related	approved	DB00526	eloxatin
carboplatin	small molecule	426756	TCGA	Chemotherapy	Antitumor agent that forms platinum-DNA adducts.	alkylating related	approved	DB00958	paraplatin|Carboplatine|Carboplatino|CBDCA|NSC-241240
capecitabine	small molecule	60953	TCGA	Chemotherapy	DNA, RNA and protein synthesis inhibitor	alkylating related	approved	DB01101	ecansya|xeloda|capecytabinum|nsc-759853|ro-09-1978000|capiibine|ro-091978000|captabin|capecitabine accord|capecitabine teva|capecitabine medac|capecitibine|capecytabine|xeloda|capecitabine sun|ro 09-1978/000
cisplatin	small molecule	5702198	TCGA	Chemotherapy	first metal-based chemotherapeutic drugs, which is used for wide range of solid cancers such as testicular, ovarian, bladder, lung, cervical, head and neck cancer, gastric cancer and some other cancers.	alkylating related	approved	DB00515	platinol|cddp|Cis-DDP|cisplatino
gemcitabine hcl	small molecule	60749	TCGA	Chemotherapy	nhibits DNA synthesis,deoxycytidine analog	alkylating related			gemzar
topotecan hcl	small molecule	60699	TCGA	Chemotherapy	Topoisomerase 1 inhibitor	alkylating related	approved	DB01030	Topotecan|Topotecane|Topotecanum|SK&F-104864|SKF-104864
carboplatinum	small molecule	38904	TCGA	Chemotherapy		alkylating related			
cisplatinum	small molecule	441203	TCGA	Chemotherapy		alkylating related	approved	DB00515	
eribulin	small molecule	11354606	TCGA	Chemotherapy		alkylating related	approved	DB08871	eribulin mesylate|halaven
floxuridine	small molecule	5790	TCGA	Chemotherapy		alkylating related	approved	DB00322	
folinic acid	small molecule	135403648	TCGA	Chemotherapy		alkylating related			folinic acid+fluorouracil+oxaliplatin
fotemustine	small molecule	104799	TCGA	Chemotherapy		alkylating related	investigational	DB04106	mustophoran|mustoforan
halichondrin b	small molecule	5915307	TCGA	Chemotherapy		alkylating related			
hydrocortisone	small molecule	5754	TCGA	Chemotherapy		alkylating related	approved	DB00741	micort-hc|flexicort|terra-cortril|ophthocort|nsc-10483|u-cort|cortifoam|neo-cortef|cortisol|cor-oticin
